iter	TotalF1:average=Macro	MultiClass
715	0.4687050532	1.098576645
716	0.4687049183	1.098515597
717	0.468733567	1.098453601
718	0.4687436242	1.098391062
719	0.4687218997	1.098335774
720	0.4687733211	1.098276217
721	0.4688236067	1.098218624
722	0.4688838165	1.098159677
723	0.4688795196	1.098097206
724	0.4688706837	1.098038937
725	0.4688889343	1.097971384
726	0.4689237546	1.097915893
727	0.4689319773	1.097854099
728	0.4689288135	1.097794
729	0.4689129727	1.097731868
730	0.4689267368	1.097675089
731	0.4689205241	1.097610044
732	0.468950614	1.097542153
733	0.4689678465	1.097485509
734	0.4690055755	1.097430153
735	0.4689987589	1.097372493
736	0.4690482985	1.097314291
737	0.4690640901	1.09725514
738	0.4691430519	1.097193618
739	0.4691163541	1.09713711
740	0.4691415829	1.097083719
741	0.4690932221	1.097024771
742	0.4691873452	1.096969144
743	0.4692383716	1.09691521
744	0.4692957197	1.096856195
745	0.4693272746	1.096796299
746	0.4693910034	1.09674406
747	0.4694111201	1.096682741
748	0.4694104755	1.09663084
749	0.4694124035	1.096579143
750	0.4694561402	1.096526226
751	0.4694776567	1.096467075
752	0.4695005051	1.096413074
753	0.4694945259	1.096358869
754	0.4695127894	1.09630663
755	0.4695312133	1.096253577
756	0.4695535819	1.096200389
757	0.469572977	1.096151537
758	0.4695727081	1.096096926
759	0.4695442384	1.096049701
760	0.4695498015	1.095993463
761	0.4695387059	1.095941359
762	0.4695359497	1.095889459
763	0.4695725666	1.095831799
764	0.4696143444	1.095783353
765	0.4696188194	1.09573064
766	0.4696560339	1.095674877
767	0.4697252892	1.095628329
768	0.4697489806	1.095568433
769	0.4697891724	1.095519107
770	0.4698488264	1.095468154
771	0.4698544596	1.095418828
772	0.4699094167	1.095366589
773	0.4699288929	1.095315704
774	0.4699444295	1.095263262
775	0.4699787275	1.095213393
776	0.4699899765	1.09515614
777	0.4699994969	1.095109998
778	0.4700299975	1.095062163
779	0.4700598043	1.095013515
780	0.4701290504	1.094965679
781	0.4701008424	1.094916556
782	0.4701577501	1.094862216
783	0.4701710984	1.094816075
784	0.470184845	1.094766342
785	0.4702439817	1.094714509
786	0.4702299929	1.094669452
787	0.4703385749	1.094618974
788	0.4703753085	1.094568089
789	0.47035383	1.094521541
790	0.4703462382	1.094474993
791	0.4703823393	1.094425938
792	0.4703878504	1.094381626
793	0.4704142761	1.094328235
794	0.4703913818	1.094281822
795	0.4704337428	1.094236697
796	0.4704805912	1.094186016
797	0.4705021979	1.094135334
798	0.4705155134	1.094087838
799	0.4704948527	1.094044339
800	0.4704967509	1.094002534
801	0.4705391255	1.093956663
802	0.4705694077	1.093913028
803	0.4706116824	1.093864719
804	0.4706082258	1.093824133
805	0.4706385926	1.093779211
806	0.4706650935	1.093736186
807	0.4707079262	1.093690384
808	0.470775305	1.093646071
809	0.4707450345	1.093601556
810	0.4707749695	1.093554872
811	0.4707924915	1.093505953
812	0.4708284288	1.093459879
813	0.4708230748	1.093415838
814	0.4708534374	1.093372203
815	0.4708585882	1.093333379
816	0.4708444913	1.093293878
817	0.4708956562	1.093251056
818	0.4708981004	1.093208912
819	0.4709436496	1.093164465
820	0.470938184	1.093122592
821	0.4709603627	1.093082684
822	0.4709990067	1.093035119
823	0.4710378217	1.092989926
824	0.4710586807	1.092949002
825	0.4710620158	1.09291011
826	0.4710591443	1.092869728
827	0.471082001	1.092828668
828	0.4710938268	1.09278544
829	0.4711360073	1.092743296
830	0.4711486708	1.092701965
831	0.4711810665	1.092658534
832	0.471194415	1.092612596
833	0.471190822	1.092576211
834	0.471192396	1.092529663
835	0.4712295179	1.092484537
836	0.4712408775	1.092444358
837	0.4712615088	1.092401943
838	0.4712743963	1.092362374
839	0.4712729756	1.092321789
840	0.4712815756	1.092282965
841	0.4712799839	1.092245293
842	0.4712860711	1.092205656
843	0.47131899	1.092168729
844	0.4713467031	1.092131328
845	0.4713578597	1.0920902
846	0.4713926275	1.092042432
847	0.4714203875	1.092000153
848	0.4714276881	1.091964107
849	0.4714329428	1.091930907
850	0.4714164683	1.09189608
851	0.471432396	1.091858137
852	0.4714678102	1.091821278
853	0.4715196617	1.09178408
854	0.4715292192	1.091748983
855	0.4715236207	1.091708194
856	0.4715655159	1.091666795
857	0.4715786143	1.091627633
858	0.4715550217	1.091585624
859	0.4715877898	1.091545919
860	0.4716232145	1.09151299
861	0.4716728084	1.091476673
862	0.47168444	1.091439137
863	0.4716977094	1.09140282
864	0.47172522	1.091360947
865	0.4717612836	1.091316499
866	0.4717463034	1.091279776
867	0.4717638179	1.091243865
868	0.4718045124	1.09120023
869	0.4718232282	1.09116554
870	0.4718285768	1.091127664
871	0.4718480373	1.091091076
872	0.4718487286	1.091058215
873	0.4719104212	1.091025286
874	0.4719214872	1.090990866
875	0.4719481574	1.090956446
876	0.4719643732	1.090924465
877	0.4719907994	1.090891468
878	0.4720254354	1.09085549
879	0.4720314101	1.090823103
880	0.472103091	1.090789496
881	0.472101417	1.090757312
882	0.4721198128	1.090723638
883	0.4721403594	1.090689624
884	0.4721303742	1.090659405
885	0.4721337838	1.090628373
886	0.4721836803	1.090594157
887	0.4722078161	1.090562921
888	0.4722131467	1.090521862
889	0.4722295076	1.090486832
890	0.4721970547	1.090458036
891	0.4722671007	1.090426191
892	0.4722576911	1.090392245
893	0.4723120188	1.09036101
894	0.4723045864	1.090329368
895	0.472322887	1.090295693
896	0.4723215151	1.090259309
897	0.4723417627	1.090221704
898	0.4723465293	1.09019135
899	0.4723949134	1.090154491
900	0.4723990483	1.090125085
901	0.4724410457	1.090091749
902	0.472459142	1.090062004
903	0.4724969407	1.090031853
904	0.4725167226	1.089996282
905	0.4725130413	1.089962878
906	0.4725361943	1.089933675
907	0.4725599818	1.089898646
908	0.4725594006	1.089862871
909	0.472574477	1.089827502
910	0.4726089923	1.089798571
911	0.4726282169	1.089769639
912	0.4726292929	1.089735152
913	0.4726503194	1.089705542
914	0.47268079	1.089675323
915	0.4726911482	1.089648492
916	0.4726997952	1.08961475
917	0.4727274048	1.089585208
918	0.4727452289	1.089554312
919	0.4727843156	1.089516775
920	0.4727257175	1.089490351
921	0.4727690358	1.089462164
922	0.4727843733	1.089429371
923	0.472816252	1.089399287
924	0.4728399607	1.089367307
925	0.4728761349	1.089335868
926	0.4728857269	1.089306801
927	0.4729250159	1.089275972
928	0.4729299705	1.08924372
929	0.4729623914	1.089210656
930	0.4729519658	1.089183824
931	0.4729606058	1.089154825
